year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,johnston_rotation_code,bulk_density,percent_soc,percent_n,note_id
1938,5,74,none,arable,Ar,AF,1.508,0.980,*,1.000
1938,5,75,FYM,alternating,Ah/L,LC8,1.508,0.980,*,1.000
1938,5,76,none,alternating,Ah/L,LC8,1.508,0.980,*,1.000
1938,5,77,FYM,alternating,L/Ah,LC8,1.508,0.980,*,1.000
1938,5,78,none,alternating,L/Ah,LC8,1.508,0.980,*,1.000
1938,5,79,none,ley_arable,Lu,LC3,1.508,0.980,*,1.000
1938,5,80,FYM,ley_arable,Lu,LC3,1.508,0.980,*,1.000
1955,3,33,FYM,ley_arable,Lu,LC3,1.388,0.986,*,2.000
1955,3,34,none,ley_arable,Lu,LC3,1.388,0.940,*,2.000
1955,3,35,FYM,alternating,Ar/Lu,LN8,1.508,1.116,*,2.000
1955,3,36,none,alternating,Ar/Lu,LN8,1.508,1.135,*,2.000
1955,3,37,none,alternating,Lu/Ar,LN8,1.508,0.928,*,2.000
1955,3,38,FYM,alternating,Lu/Ar,LN8,1.508,1.047,*,2.000
1955,3,39,FYM,arable,Ar,AF,1.508,0.952,*,2.000
1955,3,40,none,arable,Ar,AF,1.508,0.952,*,2.000
1955,3,41,none,alternating,L/Ah,LC8,1.508,0.883,*,2.000
1955,3,42,FYM,alternating,L/Ah,LC8,1.508,1.015,*,2.000
1955,3,43,none,ley_arable,L,LN3,1.388,1.079,*,2.000
1955,3,44,FYM,ley_arable,L,LN3,1.388,1.282,*,2.000
1955,3,45,none,arable,Ah,AB,1.508,0.975,*,2.000
1955,3,46,FYM,arable,Ah,AB,1.508,1.164,*,2.000
1955,3,47,none,alternating,Ah/L,LC8,1.508,0.973,*,2.000
1955,3,48,FYM,alternating,Ah/L,LC8,1.508,1.249,*,2.000
1956,5,65,none,ley_arable,L,LN3,1.388,1.080,*,*
1956,5,66,FYM,ley_arable,L,LN3,1.388,1.180,*,*
1956,5,67,FYM,arable,Ah,AB,1.508,1.230,*,*
1956,5,68,none,arable,Ah,AB,1.508,1.200,*,*
1956,5,69,none,alternating,Lu/Ar,LN8,1.508,0.930,*,*
1956,5,70,FYM,alternating,Lu/Ar,LN8,1.508,1.080,*,*
1956,5,71,none,alternating,Ar/Lu,LN8,1.508,1.140,*,*
1956,5,72,FYM,alternating,Ar/Lu,LN8,1.508,1.210,*,*
1956,5,73,FYM,arable,Ar,AF,1.508,0.980,*,*
1956,5,74,none,arable,Ar,AF,1.508,0.910,*,*
1956,5,75,FYM,alternating,Ah/L,LC8,1.508,1.160,*,*
1956,5,76,none,alternating,Ah/L,LC8,1.508,1.150,*,*
1956,5,77,FYM,alternating,L/Ah,LC8,1.508,1.010,*,*
1956,5,78,none,alternating,L/Ah,LC8,1.508,0.990,*,*
1956,5,79,none,ley_arable,Lu,LC3,1.388,1.050,*,*
1956,5,80,FYM,ley_arable,Lu,LC3,1.388,1.240,*,*
1957,4,49,FYM,alternating,Ah/L,LC8,1.508,1.020,*,*
1957,4,50,none,alternating,Ah/L,LC8,1.508,1.040,*,*
1957,4,51,none,alternating,Ar/Lu,LN8,1.508,1.140,*,*
1957,4,52,FYM,alternating,Ar/Lu,LN8,1.508,1.310,*,*
1957,4,53,none,arable,Ah,AB,1.508,1.030,*,*
1957,4,54,FYM,arable,Ah,AB,1.508,1.190,*,*
1957,4,55,none,alternating,L/Ah,LC8,1.508,1.100,*,*
1957,4,56,FYM,alternating,L/Ah,LC8,1.508,1.230,*,*
1957,4,57,FYM,ley_arable,L,LN3,1.388,1.290,*,*
1957,4,58,none,ley_arable,L,LN3,1.388,1.310,*,*
