year,block,main_plot,split_plot,plot_code,previous_FYM_factor_level,N_factor_level,N_factor_code,N_fertilizer_amount,number_of_N_applications,rotation_factor_level,basal_P_kg,date_P,basal_K_kg,date_K,basal_S_kg,date_S,cultivar,sow_date,harvest_date,grain_yield,note_id
1976,3,43,3,43.300,none,FA:N0,N0,0,0,L,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,3.017,*
1976,3,43,4,43.400,none,FA:N1,N63,63,1,L,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,3.242,*
1976,3,44,1,44.100,FYM,FA:N1,N63,63,1,L,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.785,*
1976,3,44,2,44.200,FYM,FA:N0,N0,0,0,L,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,1.789,*
1976,3,44,3,44.300,FYM,FA:N3,N189,189,1,L,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.785,*
1976,3,44,4,44.400,FYM,FA:N2,N126,126,1,L,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.291,*
1976,3,45,1,45.100,none,FA:N0,N0,0,0,Ah_per,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,1.832,*
1976,3,45,2,45.200,none,FA:N1,N63,63,1,Ah_per,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,3.024,*
1976,3,45,3,45.300,none,FA:N2,N126,126,1,Ah_per,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,4.739,*
1976,3,45,4,45.400,none,FA:N3,N189,189,1,Ah_per,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.307,12
1976,3,46,1,46.100,FYM,FA:N1,N63,63,1,Ah_per,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.837,12
1976,3,46,2,46.200,FYM,FA:N2,N126,126,1,Ah_per,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,1.801,12
1976,3,46,3,46.300,FYM,FA:N3,N189,189,1,Ah_per,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.708,12
1976,3,46,4,46.400,FYM,FA:N0,N0,0,0,Ah_per,60.000,1975-11-10,60.000,1975-11-10,0.000,*,Cappelle,1975-11-10,1976-08-02,2.090,12
1977,5,65,1,65.100,none,FA:N1,N63,63,1,L,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.486,*
1977,5,65,2,65.200,none,FA:N3,N189,189,1,L,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.215,*
1977,5,65,3,65.300,none,FA:N0,N0,0,0,L,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,2.681,*
1977,5,65,4,65.400,none,FA:N2,N126,126,1,L,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,5.122,*
1977,5,66,1,66.100,FYM,FA:N2,N126,126,1,L,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,5.195,*
1977,5,66,2,66.200,FYM,FA:N1,N63,63,1,L,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.338,*
