year,block,main_plot,sub_plot,rotation_type,rotation_factor_level_code,n_or_c_treatment,sampling_date,soil_depth,bulk_density,percent_total_C,percent_CaCO3_C,percent_soc,percent_total_N,pH_in_water,Olsen_P,K_ex,Ca_ex,Mg_ex,Na_ex,note_id
1969.000,2.000,13/14,1,reseeded grass,Rpc,c,1969-08-01 00:00:00,0-23,*,*,*,2.450,*,*,*,*,*,*,*,"6,13"
1969.000,2.000,13/14,2,reseeded grass,Rpn,n,1969-08-02 00:00:00,0-23,*,*,*,2.450,*,*,*,*,*,*,*,"6,13"
1969.000,2.000,15/16,*,ley_arable,Lc,*,1969-08-03 00:00:00,0-23,*,*,*,2.280,*,*,*,*,*,*,*,*
1969.000,2.000,17/18,*,ley_arable,Ln,*,1969-08-04 00:00:00,0-23,*,*,*,2.130,*,*,*,*,*,*,*,*
1969.000,2.000,19/20,*,arable,A,*,1969-08-05 00:00:00,0-23,*,*,*,1.980,*,*,*,*,*,*,*,*
1969.000,2.000,21/22,*,ley_arable,Lu,*,1969-08-06 00:00:00,0-23,*,*,*,1.910,*,*,*,*,*,*,*,*
1969.000,2.000,23/24,1,permanent grass,Gc,c,1969-08-07 00:00:00,0-23,0.944,*,*,3.400,*,*,*,*,*,*,*,*
1969.000,2.000,23/24,2,permanent grass,Gn,n,1969-08-08 00:00:00,0-23,0.944,*,*,3.470,*,*,*,*,*,*,*,*
1969.000,3.000,25/26,*,ley_arable,Lc,*,1969-08-09 00:00:00,0-23,*,*,*,2.410,*,*,*,*,*,*,*,*
1969.000,3.000,27/28,*,arable,A,*,1969-08-10 00:00:00,0-23,*,*,*,2.070,*,*,*,*,*,*,*,*
1969.000,3.000,29/30,*,ley_arable,Ln,*,1969-08-11 00:00:00,0-23,*,*,*,1.950,*,*,*,*,*,*,*,*
1969.000,3.000,31/32,1,reseeded grass,Rpc,c,1969-08-12 00:00:00,0-23,*,*,*,2.320,*,*,*,*,*,*,*,"6,13"
1969.000,3.000,31/32,2,reseeded grass,Rpn,n,1969-08-13 00:00:00,0-23,*,*,*,2.320,*,*,*,*,*,*,*,"6,13"
1969.000,3.000,33/34,1,permanent grass,[G],*,1969-08-14 00:00:00,0-23,0.944,*,*,2.850,*,*,*,*,*,*,*,7
1969.000,3.000,33/34,2,permanent grass,[G],*,1969-08-15 00:00:00,0-23,0.944,*,*,2.730,*,*,*,*,*,*,*,7
1969.000,3.000,35/36,*,ley_arable,Lu,*,1969-08-16 00:00:00,0-23,*,*,*,1.920,*,*,*,*,*,*,*,*
1972.000,1.000,01/02,1,permanent grass,Gn,n,1972-09-01 00:00:00,0-23,0.944,*,*,3.080,*,*,*,*,*,*,*,*
1972.000,1.000,01/02,2,permanent grass,Gc,c,1972-09-01 00:00:00,0-23,0.944,*,*,3.190,*,*,*,*,*,*,*,*
1972.000,1.000,03/04,*,ley_arable,Lu,*,1972-09-01 00:00:00,0-23,*,*,*,2.110,*,*,*,*,*,*,*,*
1972.000,1.000,05/06,1,reseeded grass,Rn,n,1972-09-01 00:00:00,0-23,*,*,*,2.860,*,*,*,*,*,*,*,*
1972.000,1.000,05/06,2,reseeded grass,Rc,c,1972-09-01 00:00:00,0-23,*,*,*,3.260,*,*,*,*,*,*,*,*
1972.000,1.000,07/08,*,ley_arable,Ln,*,1972-09-01 00:00:00,0-23,*,*,*,2.410,*,*,*,*,*,*,*,*
