note_id,description
1,"This plot was cut for silage, rather than being grazed by sheep. Shown as RS on some plans in some years."
2,A hay crop was taken from the grass plot this year instead of grazing sheep on it. Shown as Rh on some plans in some years.
3,See supplementary information seed mixture for information on ley treatment seed mixture composition. No information is available on grass/clover seed mixtures sown after 1990
4,Cropping plan for 1993 missing - crop cultivars inferred from those used in years directly before and after 1993
5,"In the 1960s, these reseeded grass plots were ploughed up and converted to the arable treatment rotation, either until 1973 or until their block was phased out of the experiment."
