description,years,treatment_factor,treatment_factor_rdfType,factor_level_name,amount,amount_unit,frequency,treatment_form,treatment_form_rdfType
"plots 1- 13 and 16 (except 5, 6 and 12) were halved in 1903, northern half (U) did not receive lime ",1903-1964,pH exposure,http://purl.obolibrary.org/obo/PECO_0007171,U,0,t CaCO3 ha-1 ,not applied,Ground limestone/chalk,http://aims.fao.org/aos/agrovoc/c_4342
"plots 1- 13 and 16 (except 5, 6 and 12)  were halved in 1903 and lime applied to southern half (L)",1903-1964,pH exposure,http://purl.obolibrary.org/obo/PECO_0007171,L,4.0-5.0,t CaCO3 ha-1 ,every four years in winter,Ground limestone/chalk,http://aims.fao.org/aos/agrovoc/c_4342
"plots 14, 15 and 17 were halved in 1920, northern half (U) did not receive lime ",1920-1964,pH exposure,http://purl.obolibrary.org/obo/PECO_0007171,U,0,t CaCO3 ha-1 ,not applied,Ground limestone/chalk,http://aims.fao.org/aos/agrovoc/c_4342
"plots 14, 15 and 17 were halved in 1920 and lime applied to southern half (L)",1920-1964,pH exposure,http://purl.obolibrary.org/obo/PECO_0007171,L,4.0-5.0,t CaCO3 ha-1 ,every four years in winter,Ground limestone/chalk,http://aims.fao.org/aos/agrovoc/c_4342
"plots 18, 19, 20 were split in three in 1920; one receiving no lime (U), one receiving high lime (HL), one receiving  low lime (LL)",1920-1964,pH exposure,http://purl.obolibrary.org/obo/PECO_0007171,U,0,t CaCO3 ha-1 ,not applied,Ground limestone/chalk,http://aims.fao.org/aos/agrovoc/c_4342
"plots 18, 19, 20 were split in three in 1920; one receiving no lime (U), one receiving high lime (HL), one receiving  low lime (LL)",1920-1964,pH exposure,http://purl.obolibrary.org/obo/PECO_0007171,LL,1.14-7.90,t CaCO3 ha-1 ,every four years in winter,Ground limestone/chalk,http://aims.fao.org/aos/agrovoc/c_4342
"plots 18, 19, 20 were split in three in 1920; one receiving no lime (U), one receiving high lime (HL), one receiving  low lime (LL)",1920-1964,pH exposure,http://purl.obolibrary.org/obo/PECO_0007171,HL,5.55-13.58,t CaCO3 ha-1 ,every four years in winter,Ground limestone/chalk,http://aims.fao.org/aos/agrovoc/c_4342
"plots 5-1, 5-2, 6 and 12 remained unlimed (U) throughout ",1903-1920,pH exposure,http://purl.obolibrary.org/obo/PECO_0007171,U,0,t CaCO3 ha-1 ,not applied,Ground limestone/chalk,http://aims.fao.org/aos/agrovoc/c_4342
