site,plot_id,plot,split_plot,sub_plot,year_of_split,subsequent_plots_1,year_of_split_1,subsequent_plots_2,year_of_split_2,harvest_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,start_cut_1,end_cut_1,start_cart_1,end_cart_1,harvest_area_cut_1,yield_dry_matter_cut_1,yield_dry_matter_cut_1_forage_harvester,start_cut_2,end_cut_2,start_cart_cut_2,end_cart_cut_2,harvest_area_cut_2,yield_dry_matter_cut_2,note_id
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1921,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1921-06-25,1921-06-25,1921-06-27,1921-06-27,0.039,1.836,*,*,*,*,*,*,*,"1, 7"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1922,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1922-06-27,1922-06-27,1922-07-01,1922-07-01,0.038,1.407,*,1922-10-07,1922-10-07,1922-10-16,1922-10-16,0.039,1.573,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1923,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1923-06-18,1923-06-18,1923-06-22,1923-06-22,0.039,1.941,*,1923-12-20,1923-01-12,1923-01-17,1923-01-17,0.039,0.223,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1924,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1924-06-25,1924-06-25,1924-06-27,1924-06-27,0.038,2.859,*,*,*,*,*,*,*,"1, 7"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1925,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1925-06-13,1925-06-13,1925-06-16,1925-06-16,0.039,2.325,*,1925-09-11,1925-09-11,1925-09-17,1925-09-17,0.039,1.294,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1926,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1926-06-24,1926-06-24,1926-06-30,1926-06-30,0.037,2.365,*,1926-09-09,1926-09-09,1926-09-15,1926-09-15,0.039,0.923,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1927,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1927-07-05,1927-07-06,1927-07-18,1927-07-19,0.039,0.903,*,1927-09-16,1927-09-20,1927-09-22,1927-09-24,0.039,0.817,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1928,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1928-06-25,1928-06-27,1928-07-02,1928-07-02,0.039,1.387,*,1928-09-27,1928-09-28,1928-10-05,1928-10-06,0.039,0.426,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1929,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1929-07-05,1929-07-06,1929-07-10,1929-07-11,0.039,1.211,*,1929-10-08,1929-10-09,1929-10-10,1929-10-10,0.039,0.059,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1930,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1930-06-26,1930-06-28,1930-07-02,1930-07-04,0.039,2.301,*,1930-10-17,1930-10-21,1930-10-22,1930-10-24,0.039,0.841,1
