description,years,treatment_factor,treatment_factor_rdfType,factor_level_name,amount,amount_unit,frequency,total_amount,total_amount_unit,treatment_form,treatment_form_rdfType
Factor level shows no Mg treatment applied. ,1974-1978,magnesium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007288,0,0,,none,0,,,
Factor level shows annual Mg treatment. Applied 1974-1978 except 1975. ,1974-1978,magnesium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007288,Mg,112,kg Mg ha-1 yr-1,annual,448,kg Mg ha-1,magnesium sulphate,http://purl.obolibrary.org/obo/CHEBI_32599
