note_id,description
1,"1962 yields are mean of K treatments, taken from yield book. Individual plot values not available. "
2,No yield due to crop failure
3,"P1 application shown as 25 kg P ha-1 in most sources, but 50 kg P ha-1 in some. "
4,"1990 first application of Mn only, as crop failed, so no second application. "
5,"Potato tubers yield at fresh weight as harvested, % dry matter not recorded"
6,"No yield due to crop failure. 1990 first application of Mn only, as crop failed, so no second application. "
0,No notes for record
