description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount_unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows magnesium fertilizer treatment,0,1856-1901,magnesium nutrient exposure,,0,,,,
Factor level shows magnesium fertilizer treatment,Mg,1856-1901,magnesium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007288,11,kg Mg ha-1,annual,magnesium sulfate,http://purl.obolibrary.org/obo/CHEBI_32599
