description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount_unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows phosphorus fertilizer treatment,0,1856-1901,phosphorus nutrient exposure ,,0,,,,
"Factor level shows phosphorus fertilizer treatment. P from superphosphate 1876-1896, from basic slag 1897-1901",P,1856-1901,phosphorus nutrient exposure ,http://purl.obolibrary.org/obo/PECO_0007397 ,34,kg P ha-1,annual,superphosphate,http://aims.fao.org/aos/agrovoc/c_7521
