description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount_unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows annual FYM treatment,0,1856-1901,FYM exposure,,0,,,,
Factor level shows annual FYM treatment,FYM,1856-1901,FYM exposure,http://purl.obolibrary.org/obo/AGRO_00000076,35,t FYM ha-1,annual,farmyard manure from cattle,http://aims.fao.org/aos/agrovoc/c_2810
