description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount_unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows potassium fertilizer treatment,nil,1856-1901,potassium nutrient exposure,,0,,,,
Factor level shows potassium fertilizer treatment; 91 kg K 1859-1874; 137 kg K 1875-1901,K,1856-1901,potassium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007293,137,kg K ha-1,annual,potassium sulphate,http://aims.fao.org/aos/agrovoc/c_6142
