harvest_year,crop,plot,previous_fertilizer_code,current_year_fertilizer_code,n_fertilizer_amount,n_fertilizer_type,chalk_amount,sowing_date,harvest_date,variety,plot_area,grain_yield,straw_yield,note_id
1953,spring barley,6,N*,N,63.000,ammonium sulphate,*,1953-02-27,1953-08-14,Plumage Archer,0.068,1.840,2.260,*
1953,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1953-02-27,1953-08-14,Plumage Archer,0.068,2.670,3.010,*
1953,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1953-02-27,1953-08-14,Plumage Archer,0.068,2.500,2.900,*
1953,spring barley,9,P,N,63.000,ammonium sulphate,*,1953-02-27,1953-08-14,Plumage Archer,0.068,2.450,2.990,*
1953,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1953-02-27,1953-08-14,Plumage Archer,0.068,2.720,3.190,*
1954,spring barley,1,Nil,N,63.000,ammonium sulphate,5.022,1954-03-16,1954-08-28,Plumage Archer,0.068,2.030,2.570,1.000
1954,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,12.555,1954-03-16,1954-08-28,Plumage Archer,0.068,2.380,3.550,2.000
1954,spring barley,3,FYM (P),N,63.000,ammonium sulphate,0.000,1954-03-16,1954-08-28,Plumage Archer,0.068,3.750,4.030,*
1954,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,6.277,1954-03-16,1954-08-28,Plumage Archer,0.068,3.600,4.130,3.000
1954,spring barley,5,N,N,63.000,ammonium sulphate,0.000,1954-03-16,1954-08-28,Plumage Archer,0.068,2.570,2.770,*
1954,spring barley,6,N*,N,63.000,ammonium sulphate,10.044,1954-03-16,1954-08-28,Plumage Archer,0.068,2.160,3.180,4.000
1954,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,0.000,1954-03-16,1954-08-28,Plumage Archer,0.068,3.490,3.830,*
1954,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,7.533,1954-03-16,1954-08-28,Plumage Archer,0.068,3.390,4.350,5.000
1954,spring barley,9,P,N,63.000,ammonium sulphate,0.000,1954-03-16,1954-08-28,Plumage Archer,0.068,2.990,3.560,*
1954,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,5.022,1954-03-16,1954-08-28,Plumage Archer,0.068,3.340,3.890,6.000
1955,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,1.190,1.570,*
1955,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,1.560,2.080,*
1955,spring barley,3,FYM (P),N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,3.400,3.580,*
1955,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,3.180,3.390,*
1955,spring barley,5,N,N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,1.480,1.770,*
1955,spring barley,6,N*,N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,1.000,1.430,*
1955,spring barley,7,NPKNaMg,N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,3.090,3.430,*
1955,spring barley,8,N*PKNaMg,N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,2.860,3.120,*
1955,spring barley,9,P,N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,2.620,2.820,*
1955,spring barley,10,PKNaMg,N,63.000,ammonium sulphate,*,1955-03-22,1955-07-15,Plumage Archer,0.068,3.000,3.350,*
1956,spring barley,1,Nil,N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,1.090,1.390,*
1956,spring barley,2,Nil (FYM),N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,1.440,1.610,*
1956,spring barley,3,FYM (P),N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,2.600,2.670,*
1956,spring barley,4,FYM (N*P),N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,2.610,2.600,*
1956,spring barley,5,N,N,63.000,ammonium sulphate,*,1956-04-03,1956-08-30,Plumage Archer,0.068,1.180,1.480,*
