description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows annual FYM treatment,nil,1926-1967,FYM exposure,,0,,,,
Factor level shows annual FYM treatment. Applied in autumn usually to stubble of previous crop. No FYM applied in fallow years. Applied to strip 22 since 1843 and to strip 21 since 1885. ,FYM,1926-1967,FYM exposure,http://purl.obolibrary.org/obo/AGRO_00000076,35,t FYM ha-1,annual except in fallow years,farmyard manure from cattle,http://aims.fao.org/aos/agrovoc/c_2810
