name,ncbitaxon_uri,common_name,new_common_name,phylogeny,note_id
Stellaria media,http://purl.obolibrary.org/obo/NCBITaxon_134857,Common Chickweed,*,forb,*
Taraxacum officinale,http://purl.obolibrary.org/obo/NCBITaxon_462873,Dandelion,*,forb,*
Tragopogon pratensis,http://purl.obolibrary.org/obo/NCBITaxon_87471,Goat's-beard,*,forb,*
Trifolium pratense,http://purl.obolibrary.org/obo/NCBITaxon_40919,Red Clover,*,legume,*
Trifolium repens,http://purl.obolibrary.org/obo/NCBITaxon_29679,White Clover,*,legume,*
Trisetum flavescens,http://purl.obolibrary.org/obo/NCBITaxon_58656,Yellow Oat-grass,*,grass,*
Veronica chamaedrys,http://purl.obolibrary.org/obo/NCBITaxon_105271,Germander Speedwell,*,forb,*
Vicia cracca,http://purl.obolibrary.org/obo/NCBITaxon_254779,Tufted Vetch,*,forb,*
Vicia sepium,http://purl.obolibrary.org/obo/NCBITaxon_347188,Bush vetch,*,forb,*
Unidentified,http://purl.obolibrary.org/obo/NCBITaxon_32644,Unidentified speceis,*,various,*
