crop_name,latin_name,crop_name_rdftype
spring barley,hordeum vulgare,http://aims.fao.org/aos/agrovoc/c_ad10e027
winter barley,hordeum vulgare,http://aims.fao.org/aos/agrovoc/c_5b8bcf68
fallow,*,http://aims.fao.org/aos/agrovoc/c_34007
winter wheat,triticum aestivum,http://aims.fao.org/aos/agrovoc/c_8412 
spring wheat,triticum aestivum,http://aims.fao.org/aos/agrovoc/c_7337
spring beans,vicia faba,http://aims.fao.org/aos/agrovoc/c_8220
spring oats,avena sativa,http://aims.fao.org/aos/agrovoc/c_5287
