year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,phase_number,test_or_treatment,crop_name,crop_code,crop_variety,management_note_id,note_id
1973,3,37,none,alternating arable and ley-arable,Lu/Ar,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1974,3,37,none,alternating arable and ley-arable,Lu/Ar,2,2nd treatment crop,spring barley,B,Julia,*,*
1975,3,37,none,alternating arable and ley-arable,Lu/Ar,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1976,3,37,none,alternating arable and ley-arable,Lu/Ar,4,1st test crop,winter wheat,W,Cappelle,*,*
1977,3,37,none,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,spring barley,B,Julia,*,*
1978,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,1,1st year ley treatment,grass ley with N,Ln1,Erecta timothy; S.215 meadow fescue,9.000,*
1979,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,2,2nd year ley treatment,grass ley with N,Ln2,Erecta timothy; S.215 meadow fescue,9.000,*
1980,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,3,3rd year ley treatment,grass ley with N,Ln3,Erecta timothy; S.215 meadow fescue,9.000,*
1981,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,4,4th year ley treatment,grass ley with N,Ln4,Erecta timothy; S.215 meadow fescue,9.000,*
1982,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,5,5th year ley treatment,grass ley with N,Ln5,Erecta timothy; S.215 meadow fescue,9.000,*
1983,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,6,6th year ley treatment,grass ley with N,Ln6,Erecta timothy; S.215 meadow fescue,9.000,*
1984,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,7,7th year ley treatment,grass ley with N,Ln7,Erecta timothy; S.215 meadow fescue,9.000,*
1985,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,8,8th year ley treatment,grass ley with N,Ln8,Erecta timothy; S.215 meadow fescue,9.000,*
1986,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,9,1st test crop,winter wheat,W,Avalon,*,*
1987,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,10,2nd test crop,spring barley,B,Klaxon,*,*
1988,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,1,1st year ley treatment,grass ley with N,Ln1,Climax timothy; meadow fescue,9.000,*
