harvest_year,plot,sub_plot,sub_sub_plot,fertilizer_code,lime_factor_level,fym_factor_level,fym_amount,fym_n,rape_cake_factor_level,rape_cake_n,n_factor_level,fertilizer_n_amount,p_factor_level,p_amount,k_factor_level,k_amount,na_factor_level,na_amount,mg_factor_level,mg_amount,pH,percent_c,percent_n,c_n_ratio,exch_ca,total_p,org_p_ignition,org_p_extraction,note_id
1888,3,a,ii,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,6.000,1.330,0.143,9.301,1360.000,748.000,288.000,174.000,2
1888,3,b,i,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,6.000,1.330,0.143,9.301,1360.000,748.000,288.000,174.000,2
1888,3,b,ii,N2*,L0,nil,0.000,0,nil,0,N2*,46,nil,0,nil,0,nil,0,nil,0,6.000,1.330,0.143,9.301,1360.000,748.000,288.000,174.000,2
1888,4,a,*,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,6.000,1.190,0.122,9.754,1140.000,776.000,281.000,154.000,2
1888,4,b,*,PKNaMg,L0,nil,0.000,0,nil,0,nil,0,P2,34,K3,90,Na,16,Mg,11,6.000,1.190,0.122,9.754,1140.000,776.000,281.000,154.000,2
1888,5,a,i,N2PKNaMg,L0,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,5.500,1.280,0.134,9.552,1020.000,824.000,294.000,174.000,2
1888,5,a,ii,N2PKNaMg,L0,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,5.500,1.280,0.134,9.552,1020.000,824.000,294.000,174.000,2
1888,5,b,*,N2PKNaMg,L0,nil,0.000,0,nil,0,N2,46,P2,34,K3,90,Na,16,Mg,11,5.500,1.280,0.134,9.552,1020.000,824.000,294.000,174.000,2
1888,6,*,*,N2*PKNaMg,L0,nil,0.000,0,nil,0,N2*,46,P2,34,K3,90,Na,16,Mg,11,6.200,1.340,0.141,9.504,1420.000,828.000,288.000,218.000,2
1888,7,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.000,1.210,0.126,9.603,1400.000,676.000,255.000,174.000,2
