harvest_year,plot,sub_plot,sub_sub_plot,fertilizer_code,lime_factor_level,fym_factor_level,fym_amount,fym_n,rape_cake_factor_level,rape_cake_n,n_factor_level,fertilizer_n_amount,p_factor_level,p_amount,k_factor_level,k_amount,na_factor_level,na_amount,mg_factor_level,mg_amount,pH,percent_c,percent_n,c_n_ratio,exch_ca,total_p,org_p_ignition,org_p_extraction,note_id
1919,5,a,*,N1PK(NaMg),L0,nil,0.000,0,nil,0,N1,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,5,b,*,N1PK(NaMg),L2,nil,0.000,0,nil,0,N1,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,6,*,*,N1*PK(NaMg),L0,nil,0.000,0,nil,0,N1*,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,7,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,1.310,0.114,11.500,*,*,*,*,3
1919,8,a,i,N2PK(NaMg),L0,nil,0.000,0,nil,0,N2,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,8,a,ii,N2PK(NaMg),L1,nil,0.000,0,nil,0,N2,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,8,b,i,PK(NaMg),L0,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,8,b,ii,PK(NaMg),L1,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,9,a,*,N2*PK(NaMg),L0,nil,0.000,0,nil,0,N2*,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,9,b,*,PK(NaMg),L0,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1919,10,a,*,N1*P ,L0,nil,0.000,0,nil,0,N1*,23,P1,22,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1919,10,b,*,R1,L0,nil,0.000,0,R1,23,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1919,11,a,*,N1*K,L0,nil,0.000,0,nil,0,N1*,23,nil,0,K2,49,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1919,11,b,*,FYM1.5,L0,FYM1.5,14.800,92,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,1.440,0.143,10.100,*,*,*,*,3
1927,1,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.700,1.030,0.105,9.800,980.000,646.000,262.000,224.000,4
1927,2,a,i,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.400,0.980,0.094,10.400,160.000,632.000,265.000,206.000,4
1927,2,a,ii,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.800,0.970,0.106,9.200,520.000,632.000,265.000,206.000,4
1927,2,b,i,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.000,1.040,0.104,10.000,440.000,632.000,265.000,206.000,4
1927,2,b,ii,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,0.870,0.930,9.400,1020.000,632.000,265.000,206.000,4
1927,3,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,6.100,1.040,0.098,10.600,1100.000,652.000,249.000,202.000,4
1927,3,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.800,0.960,0.100,9.600,1040.000,652.000,249.000,202.000,4
1927,4,*,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.900,1.310,0.117,11.200,1320.000,1060.000,280.000,256.000,4
1927,5,a,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,4.800,1.120,0.103,10.900,380.000,1032.000,312.000,234.000,4
1927,5,b,*,None,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,5.700,1.040,0.096,10.800,880.000,1032.000,312.000,234.000,4
