note_id,description
1,"Baseline measurements before the experiment was started,in the gap between the continuous wheat and continuous barley plots. Composite sample of three holes. Soil samples taken with a 15.2 x 15.2 x 22.9cm box sampler"
2, Composite sample of three holes. Soil samples taken with a 15 x 15 x 23cm box sampler
3,"No details given of sampling methods for 1919, assumed to be to 23cm depth"
4,"1927 sample cut by spade, 23cm deep, 4-5 holes per plot, soil combined to composite sample"
5,"1932 sampled with small semi-cylindrical sampler, 2 independent series per plot, each of 10 holes, soil combined"
