note_id,description
1,K2 treatment included 450kgK in autumn 2000 only
2,Mg2 treatment included 60kg Mg in autumn 2000 only
3,"Mulika, spring wheat, in place of the usual winter wheat variety, as it was too wet to sow winter wheat in the autumn"
4,"Yields taken from slightly smaller area in 2003 and 2004, plot 2.1, as crop samples had been taken from other parts of the plot. "
