description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows potassium fertilizer treatment,nil,2001-2015,potassium nutrient exposure,,0,,,,
Factor level shows potassium fertilizer treatment,K,2001-2015,potassium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007293,90,kg K ha-1,annual,potassium sulphate,http://aims.fao.org/aos/agrovoc/c_6142
Factor level shows potassium fertilizer treatment,K*,2001-2015,potassium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007293,90,kg K ha-1,annual,potassium chloride,http://aims.fao.org/aos/agrovoc/c_6140
"Factor level shows potassium fertilizer treatment, 2001-2005, plus 450 kgK in autumn 2000 only",K2,2001-2005,potassium nutrient exposure,http://purl.obolibrary.org/obo/PECO_0007293,180,kg K ha-1,annual,potassium sulphate,http://aims.fao.org/aos/agrovoc/c_6142
