note_id,description
1,"These values not included in the Yield Book for 1974, due to suspected contamination with K residues.  "
2,No yield due to crop failure. In 1976 harvested as green crop (whole crop) and some plots failed. 
3,"P1 application shown as 25 kg P ha-1 in Yield Books, but 50 kg P ha-1 in some field plans.  "
4,"Exact amount of Mn applied in 1987 not known. Described as 12 litres ha-1 manganese lignin polycarboxylate, 'Stroller Manganese'"
5,"Potato tubers yield at fresh weight as harvested, % dry matter not recorded"
0,No notes for record
