site,plot,block,sub-plot,harvest_year,liming_factor_level,lime_date,annual_lime ,cumulative_lime ,p_factor_level,p_rate_annual,p_rate_cumulative,k_factor_level,k_rate_annual,mg_factor_level,mg_rate_annual,mn_factor_level,mn_rate_annual,s_factor_level,s_rate_annual,n_basal_rate,k_basal_rate,mg_basal_rate,crop,variety,sow_date,harvest_date,yield,%_dry_matter,note
Rothamsted,26,2,-,1962,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,1.590,85.000,0
Rothamsted,27,2,-,1962,H,1962-03-05,15.000,15.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.197,85.000,0
Rothamsted,28,2,-,1962,H,1962-03-05,15.000,15.000,P,27.500,27.500,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.470,85.000,0
Rothamsted,29,2,-,1962,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,1.590,85.000,0
Rothamsted,30,2,-,1962,L,1962-03-05,5.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.160,85.000,0
Rothamsted,31,2,-,1962,H,1962-03-05,15.000,15.000,P,27.500,27.500,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.470,85.000,0
Rothamsted,32,2,-,1962,H,1962-03-05,15.000,15.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1962-03-16,1962-09-20,2.197,85.000,0
Rothamsted,1,1,-,1963,0,*,0.000,0.000,P,27.500,55.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,1.080,85.000,0
Rothamsted,2,1,-,1963,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,1.544,85.000,0
Rothamsted,3,1,-,1963,H,1962-12-04,5.000,20.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.636,85.000,0
Rothamsted,4,1,-,1963,L,*,0.000,5.000,P,27.500,55.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,1.695,85.000,0
Rothamsted,5,1,-,1963,0,*,0.000,0.000,P,27.500,55.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,0.954,85.000,0
Rothamsted,6,1,-,1963,M,*,0.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.297,85.000,0
Rothamsted,7,1,-,1963,L,*,0.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.176,85.000,0
Rothamsted,8,1,-,1963,H,1962-12-04,5.000,20.000,P,27.500,55.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.515,85.000,0
Rothamsted,9,1,-,1963,M,*,0.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.900,85.000,0
Rothamsted,10,1,-,1963,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,1.280,85.000,0
Rothamsted,11,1,-,1963,L,*,0.000,5.000,P,27.500,55.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.787,85.000,0
Rothamsted,12,1,-,1963,L,*,0.000,5.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.599,85.000,0
Rothamsted,13,1,-,1963,M,*,0.000,10.000,P,27.500,55.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.176,85.000,0
Rothamsted,14,1,-,1963,H,1962-12-04,5.000,20.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.912,85.000,0
Rothamsted,15,1,-,1963,H,1962-12-04,5.000,20.000,P,27.500,55.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.201,85.000,0
Rothamsted,16,1,-,1963,M,*,0.000,10.000,P,27.500,55.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.737,85.000,0
Rothamsted,17,2,-,1963,M,*,0.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.963,85.000,0
Rothamsted,18,2,-,1963,M,*,0.000,10.000,P,27.500,55.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.076,85.000,0
Rothamsted,19,2,-,1963,M,*,0.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.151,85.000,0
Rothamsted,20,2,-,1963,0,*,0.000,0.000,P,27.500,55.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,1.481,85.000,0
Rothamsted,21,2,-,1963,M,*,0.000,10.000,P,27.500,55.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.787,85.000,0
Rothamsted,22,2,-,1963,L,*,0.000,5.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.051,85.000,0
Rothamsted,23,2,-,1963,0,*,0.000,0.000,P,27.500,55.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.059,85.000,0
Rothamsted,24,2,-,1963,L,*,0.000,5.000,P,27.500,55.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.235,85.000,0
Rothamsted,25,2,-,1963,L,*,0.000,5.000,P,27.500,55.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.737,85.000,0
Rothamsted,26,2,-,1963,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,1.406,85.000,0
Rothamsted,27,2,-,1963,H,1962-12-04,5.000,20.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.013,85.000,0
Rothamsted,28,2,-,1963,H,1962-12-04,5.000,20.000,P,27.500,55.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,3.013,85.000,0
Rothamsted,29,2,-,1963,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,0.942,85.000,0
Rothamsted,30,2,-,1963,L,*,0.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.460,85.000,0
Rothamsted,31,2,-,1963,H,1962-12-04,5.000,20.000,P,27.500,55.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.247,85.000,0
Rothamsted,32,2,-,1963,H,1962-12-04,5.000,20.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,0,0,0,spring beans,tick 30b,1963-04-08,1963-10-18,2.034,85.000,0
Rothamsted,1,1,-,1964,0,*,0.000,0.000,P,27.500,82.500,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.419,85.000,0
Rothamsted,2,1,-,1964,0,*,0.000,0.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.770,85.000,0
Rothamsted,3,1,-,1964,H,*,0.000,20.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.720,85.000,0
Rothamsted,4,1,-,1964,L,*,0.000,5.000,P,27.500,82.500,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.971,85.000,0
Rothamsted,5,1,-,1964,0,*,0.000,0.000,P,27.500,82.500,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.506,85.000,0
Rothamsted,6,1,-,1964,M,*,0.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.757,85.000,0
Rothamsted,7,1,-,1964,L,*,0.000,5.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.686,85.000,0
Rothamsted,8,1,-,1964,H,*,0.000,20.000,P,27.500,82.500,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.724,85.000,0
Rothamsted,9,1,-,1964,M,*,0.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.310,85.000,0
Rothamsted,10,1,-,1964,0,*,0.000,0.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.921,85.000,0
Rothamsted,11,1,-,1964,L,*,0.000,5.000,P,27.500,82.500,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.950,85.000,0
Rothamsted,12,1,-,1964,L,*,0.000,5.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.410,85.000,0
Rothamsted,13,1,-,1964,M,*,0.000,10.000,P,27.500,82.500,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.624,85.000,0
Rothamsted,14,1,-,1964,H,*,0.000,20.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.348,85.000,0
Rothamsted,15,1,-,1964,H,*,0.000,20.000,P,27.500,82.500,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.235,85.000,0
Rothamsted,16,1,-,1964,M,*,0.000,10.000,P,27.500,82.500,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,1.657,85.000,0
Rothamsted,17,2,-,1964,M,*,0.000,10.000,0,0.000,0.000,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,3.025,85.000,0
Rothamsted,18,2,-,1964,M,*,0.000,10.000,P,27.500,82.500,K,104.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,3.101,85.000,0
Rothamsted,19,2,-,1964,M,*,0.000,10.000,0,0.000,0.000,0,0.000,-,*,-,*,-,*,32,0,0,spring beans,spring tick,1964-03-06,1964-08-25,2.774,85.000,0
